bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
10,5.3938100206130315,2,50,0,13.58,4.84788613727674,10.5
10,37.886376495256556,1,50,40,77.7,2.3430749027719986,10.5
50,10.859811296144713,2,200,0,26.84,10.655186530511795,52.4
5,17.05911898439654,5,50,0,41.96,15.799462016157387,5.25
50,6.002492423116367,1,50,0,15.12,5.247570866601041,52.4
50,37.0851756185934,5,100,20,345.55,538.9704042585888,52.4
20,37.81820103664281,0,100,0,91.60000000000001,34.325136562000736,21.0
10,25.103783284189877,2,100,20,64.1,25.937488955820942,10.5
50,37.1429871366892,1,200,0,126.22,22.979164475672306,52.4
50,45.76972581579952,5,200,0,123.32,42.543941989430174,52.3
5,21.001790216419025,5,50,0,106.2,63.51550991686991,5.25
10,38.67635640938859,5,200,0,116.2,48.43640160044922,10.5
5,24.24273407196138,0,50,0,78.82,30.431759725655038,5.25
50,46.500367014788395,1,200,0,133.1,45.42356216766801,52.4
5,48.93860254633463,0,50,0,141.4,42.506470095739544,5.25
50,39.997396843848584,0,50,0,115.48,37.638437799674946,52.4
5,15.36539694385364,0,200,0,46.62,22.102646900314905,5.24
10,27.041322069496292,1,200,0,91.96,22.141883388727347,10.5
50,31.323645319094695,5,50,20,95.6,33.72664624101642,52.4
5,45.50429312494501,0,200,0,143.6,39.20204076320517,5.04
5,17.941459178286387,2,100,0,65.94,32.95493893182022,5.25
5,18.540963897010368,5,50,20,63.775000000000006,15.604780250508709,5.24
50,29.110977768710594,0,100,0,78.8,26.83756695380563,52.4
50,27.73239394996943,0,100,0,90.16,52.460394584867544,52.4
10,11.333656042865169,2,50,0,288.92,450.2816640726113,10.5
10,15.34777118154091,2,50,0,92.24,29.464266493500226,9.66
20,35.174426598555385,0,100,0,103.9,31.823419049498753,21.0
50,16.706235415651335,0,100,0,54.82,25.95422894250569,51.5
50,5.156429788241819,5,50,0,18.72,5.554007562112244,52.2
20,15.79359870974569,0,100,0,42.16,13.943564823960905,21.0
20,39.312706732939574,2,50,0,107.28,40.184536826993536,21.0
20,25.96498638447603,2,200,0,73.8,19.871461949237656,21.0
20,12.80242744587829,2,100,0,37.3,11.85390231105352,21.0
20,17.87479749033665,5,100,0,45.34,16.01102744985468,20.8
50,19.27952443154694,2,200,0,60.08,15.685407230926458,52.4
10,8.466407183712198,0,100,0,25.82,13.261297070799674,10.4
50,12.641583800245808,2,50,20,26.825,1.8246004128758355,52.4
20,28.566480826423195,0,200,0,81.36,25.402617975319,21.0
5,17.54908663042736,1,50,0,49.6,18.76192953829643,5.25
5,31.32711419792846,2,200,0,166.16,89.49317292397225,5.25
5,7.4724250183764855,2,200,0,75.38,30.377573965015703,5.25
